submission_id,age,both_norms_shown,comments,endTime,expected_claim1,expected_claim2,expected_claim3,expected_claim4,experiment_id,gender,ingroup_norm,norm_first_shown,norm_second_shown,outgroup_norm,response,response_claim1,response_claim2,response_claim3,response_claim4,startDate,startTime,timeSpent,trial_name,trial_number
3051,,NA,detective clara,1630009830558,NA,NA,NA,NA,260,,NA,NA,NA,NA,Drug legalization,NA,NA,NA,NA,Thu Aug 26 2021 22:29:54 GMT+0200 (Mitteleuropäische Sommerzeit),1630009794255,0.60505,issue,1
3051,,NA,detective clara,1630009830558,NA,NA,NA,NA,260,,NA,NA,NA,NA,4,NA,NA,NA,NA,Thu Aug 26 2021 22:29:54 GMT+0200 (Mitteleuropäische Sommerzeit),1630009794255,0.60505,statement rating,1
3051,,0,detective clara,1630009830558,NA,NA,NA,NA,260,,Approximately 60% of participants who agreed with you about Drug legalization chose to call the police and report the robber.,Approximately 60% of participants who agreed with you about Drug legalization chose to call the police and report the robber., ,Approximately 85% of participants who did not agree with you about Drug legalization chose to do nothing and leave the robber alone.,Probably call the police and report the robber,NA,NA,NA,NA,Thu Aug 26 2021 22:29:54 GMT+0200 (Mitteleuropäische Sommerzeit),1630009794255,0.60505,moral dilemma,1
3051,,NA,detective clara,1630009830558,NA,NA,NA,NA,260,,NA,NA,NA,NA,Slightly bad,NA,NA,NA,NA,Thu Aug 26 2021 22:29:54 GMT+0200 (Mitteleuropäische Sommerzeit),1630009794255,0.60505,behavior rating,1
3051,,NA,detective clara,1630009830558,true,false,false,false,260,,NA,NA,NA,NA,NA,true,false,false,false,Thu Aug 26 2021 22:29:54 GMT+0200 (Mitteleuropäische Sommerzeit),1630009794255,0.60505,custom understanding check,1
3051,,NA,detective clara,1630009830558,NA,NA,NA,NA,260,,NA,NA,NA,NA,5,NA,NA,NA,NA,Thu Aug 26 2021 22:29:54 GMT+0200 (Mitteleuropäische Sommerzeit),1630009794255,0.60505,identification_pro,1
3051,,NA,detective clara,1630009830558,NA,NA,NA,NA,260,,NA,NA,NA,NA,2,NA,NA,NA,NA,Thu Aug 26 2021 22:29:54 GMT+0200 (Mitteleuropäische Sommerzeit),1630009794255,0.60505,identification_anti,2
2632,,NA,exclude if wrong identification,1629191203348,NA,NA,NA,NA,260,non-binary,NA,NA,NA,NA,Transgender rights,NA,NA,NA,NA,Tue Aug 17 2021 11:06:25 GMT+0200 (Mitteleuropäische Sommerzeit),1629191185268,0.301333333333333,issue,1
2632,,NA,exclude if wrong identification,1629191203348,NA,NA,NA,NA,260,non-binary,NA,NA,NA,NA,5,NA,NA,NA,NA,Tue Aug 17 2021 11:06:25 GMT+0200 (Mitteleuropäische Sommerzeit),1629191185268,0.301333333333333,statement rating,1
2632,,1,exclude if wrong identification,1629191203348,NA,NA,NA,NA,260,non-binary,Approximately 60% of participants who agreed with you about Transgender rights chose to call the police and report the robber.,Approximately 60% of participants who agreed with you about Transgender rights chose to call the police and report the robber.,Approximately 85% of participants who did not agree with you about Transgender rights chose to do nothing and leave the robber alone.,Approximately 85% of participants who did not agree with you about Transgender rights chose to do nothing and leave the robber alone.,Very likely call the police and report the robber,NA,NA,NA,NA,Tue Aug 17 2021 11:06:25 GMT+0200 (Mitteleuropäische Sommerzeit),1629191185268,0.301333333333333,moral dilemma,1
2632,,NA,exclude if wrong identification,1629191203348,NA,NA,NA,NA,260,non-binary,NA,NA,NA,NA,Slightly bad,NA,NA,NA,NA,Tue Aug 17 2021 11:06:25 GMT+0200 (Mitteleuropäische Sommerzeit),1629191185268,0.301333333333333,behavior rating,1
2632,,NA,exclude if wrong identification,1629191203348,true,false,false,false,260,non-binary,NA,NA,NA,NA,NA,true,false,false,false,Tue Aug 17 2021 11:06:25 GMT+0200 (Mitteleuropäische Sommerzeit),1629191185268,0.301333333333333,custom understanding check,1
2632,,NA,exclude if wrong identification,1629191203348,NA,NA,NA,NA,260,non-binary,NA,NA,NA,NA,7,NA,NA,NA,NA,Tue Aug 17 2021 11:06:25 GMT+0200 (Mitteleuropäische Sommerzeit),1629191185268,0.301333333333333,identification_pro,1
2632,,NA,exclude if wrong identification,1629191203348,NA,NA,NA,NA,260,non-binary,NA,NA,NA,NA,6,NA,NA,NA,NA,Tue Aug 17 2021 11:06:25 GMT+0200 (Mitteleuropäische Sommerzeit),1629191185268,0.301333333333333,identification_anti,2
2631,,NA,clara 2nd,1629190991654,NA,NA,NA,NA,260,undefined,NA,NA,NA,NA,Colin Kaepernick kneeling during the national anthem,NA,NA,NA,NA,Tue Aug 17 2021 11:02:58 GMT+0200 (Mitteleuropäische Sommerzeit),1629190978534,0.218666666666667,issue,1
2631,,NA,clara 2nd,1629190991654,NA,NA,NA,NA,260,undefined,NA,NA,NA,NA,-5,NA,NA,NA,NA,Tue Aug 17 2021 11:02:58 GMT+0200 (Mitteleuropäische Sommerzeit),1629190978534,0.218666666666667,statement rating,1
